batch_id,supplier_id,component_name,quantity_produced,production_date,received_date,quantity_passed_qc,supplier_name,country,lead_time_days,unit_price,quality_score,failed_units,defect_count,defect_rate,binary_target,days_since_start,month_of_year,quarter,batch_age_days,supplier_mean_defect_rate,supplier_std_defect_rate,supplier_num_batches,supplier_total_units,component_defect_rate
BATCH-2026-00001,19,Fan,5001,2026-02-10,2026-02-22,4951,Sumitomo,USA,36,238.9,64,1,1,0.0001999600079984003,1,510,2,1,220,0.00016876737493119937,0.00039378300837730447,91,458378,0.00012855165100050963
BATCH-2025-00002,14,Camera,7810,2025-03-27,2025-04-12,7388,STMicroelectronics,South Korea,31,23.81,77,0,0,0.0,0,190,3,1,540,0.0001573864901705702,0.00046936123067953895,91,385139,0.00017585459338616095
BATCH-2024-00003,37,Camera,884,2024-11-27,2024-12-09,875,Huawei,USA,60,118.5,92,0,0,0.0,0,70,11,4,660,0.00010426815057621344,0.0003557497462935021,91,442918,0.00017585459338616095
BATCH-2026-00004,46,Speaker,2103,2026-02-26,2026-03-07,2028,Liteon,China,58,348.77,65,0,0,0.0,0,526,2,1,204,0.000177376316521378,0.0004995509860038717,96,502846,0.00019289953369198322
BATCH-2026-00005,28,Battery,4686,2026-06-05,2026-06-10,4518,Kioxia,China,36,390.8,86,0,0,0.0,0,625,6,2,105,6.548471380186631e-05,0.00020932699508353792,108,509896,0.00021173401481822628
BATCH-2025-00006,38,Speaker,4378,2025-05-01,2025-05-16,4334,Xiaomi,South Korea,52,142.13,62,2,1,0.00022841480127912289,1,225,5,2,505,0.0002941454324685746,0.0007248486269555904,106,537180,0.00019289953369198322
BATCH-2024-00007,5,Speaker,6325,2024-11-18,2024-12-05,6092,Apple,Japan,38,226.29,64,4,1,0.00015810276679841898,1,61,11,4,669,0.00029304167774806515,0.0010333897385835877,92,488005,0.00019289953369198322
BATCH-2025-00008,21,Battery,4991,2025-02-02,2025-02-12,4878,Jabil,Taiwan,58,416.67,76,0,0,0.0,0,137,2,1,593,0.00034128023110612925,0.0012045823376322067,117,579869,0.00021173401481822628
BATCH-2025-00009,34,Display,1834,2025-11-20,2025-12-07,1742,Renesas,China,19,153.37,81,0,0,0.0,0,428,11,4,302,0.00020629854890063796,0.000928870183527049,112,540044,0.00016919115080672866
BATCH-2025-00010,9,Microcontroller,5853,2025-08-10,2025-08-20,5787,Sony,Taiwan,19,33.78,81,0,0,0.0,0,326,8,3,404,0.00014132799993781594,0.00029553061545999206,104,509780,0.00013908905895273712
BATCH-2026-00011,15,Processor,1599,2026-08-18,2026-08-29,1545,SK Hynix,Taiwan,40,342.16,65,1,1,0.0006253908692933083,1,699,8,3,31,0.00026051175061660777,0.0007352320636847295,93,436297,0.0001723848232239575
BATCH-2025-00012,25,Processor,919,2025-04-07,2025-04-19,910,Broadcom,USA,26,71.6,85,3,2,0.002176278563656148,1,201,4,2,529,9.454505074439549e-05,0.0003137783114627588,84,481980,0.0001723848232239575
BATCH-2025-00013,23,Microcontroller,1694,2025-11-09,2025-11-22,1675,ASE,Japan,50,402.77,91,0,0,0.0,0,417,11,4,313,6.663525433902222e-05,0.00015954052120490043,90,441864,0.00013908905895273712
BATCH-2025-00014,24,Microcontroller,3382,2025-10-20,2025-11-02,3217,Qualcomm,Germany,53,145.59,74,0,0,0.0,0,397,10,4,333,0.00017211444124561363,0.00048508112533674527,88,458321,0.00013908905895273712
BATCH-2026-00015,15,Processor,3700,2026-05-14,2026-05-19,3532,SK Hynix,Taiwan,40,342.16,65,0,0,0.0,0,603,5,2,127,0.00026051175061660777,0.0007352320636847295,93,436297,0.0001723848232239575
BATCH-2025-00016,45,Charger,5585,2025-05-06,2025-05-12,5290,Pegatron,Taiwan,47,251.52,66,0,0,0.0,0,230,5,2,500,0.0001275169517997213,0.0003266025273992103,94,477190,0.0002259435803313693
BATCH-2026-00017,6,Camera,2514,2026-01-12,2026-01-28,2438,NVIDIA,Germany,38,463.53,74,1,0,0.0,0,481,1,1,249,0.00023377595866623649,0.0009271237760431065,104,528560,0.00017585459338616095
BATCH-2025-00018,37,Charger,1166,2025-12-10,2025-12-29,1111,Huawei,USA,60,118.5,92,0,0,0.0,0,448,12,4,282,0.00010426815057621344,0.0003557497462935021,91,442918,0.0002259435803313693
BATCH-2025-00019,12,Processor,1498,2025-10-28,2025-11-10,1447,Amphenol,Germany,18,446.77,96,0,0,0.0,0,405,10,4,325,8.015372036339901e-05,0.00041034141517753633,113,576135,0.0001723848232239575
BATCH-2026-00020,19,Sensor,8102,2026-08-22,2026-09-01,7947,Sumitomo,USA,36,238.9,64,1,0,0.0,0,703,8,3,27,0.00016876737493119937,0.00039378300837730447,91,458378,0.00016450590746445605
BATCH-2025-00021,32,Charger,6257,2025-09-28,2025-10-17,5985,Canon,South Korea,54,382.97,81,1,1,0.000159821000479463,1,375,9,3,355,8.286140374041643e-05,0.0002525478149158471,93,484783,0.0002259435803313693
BATCH-2025-00022,13,Battery,1729,2025-10-12,2025-10-17,1642,Onsemi,USA,46,98.93,89,1,1,0.000578368999421631,1,389,10,4,341,0.00013306539717335389,0.0004888825988608853,89,428711,0.00021173401481822628
BATCH-2026-00023,49,Microcontroller,1600,2026-06-30,2026-07-06,1552,Coherent,USA,42,45.65,73,1,1,0.000625,1,650,6,2,80,0.00034438539861380375,0.0009931063632699735,93,417736,0.00013908905895273712
BATCH-2024-00024,38,Camera,8946,2024-12-11,2024-12-24,8843,Xiaomi,South Korea,52,142.13,62,2,1,0.000111781801922647,0,84,12,4,646,0.0002941454324685746,0.0007248486269555904,106,537180,0.00017585459338616095
BATCH-2026-00025,2,Motherboard,3422,2026-01-14,2026-01-25,3388,TSMC,South Korea,34,349.29,92,0,0,0.0,0,483,1,1,247,0.0001216095118122708,0.0004158402802419921,99,473547,0.0002354934172429249
