batch_id,supplier_id,component_name,quantity_produced,production_date,received_date,quantity_passed_qc
BATCH-2026-00001,19,Fan,5001,2026-02-10,2026-02-22,4951
BATCH-2025-00002,14,Camera,7810,2025-03-27,2025-04-12,7388
BATCH-2024-00003,37,Camera,884,2024-11-27,2024-12-09,875
BATCH-2026-00004,46,Speaker,2103,2026-02-26,2026-03-07,2028
BATCH-2026-00005,28,Battery,4686,2026-06-05,2026-06-10,4518
BATCH-2025-00006,38,Speaker,4378,2025-05-01,2025-05-16,4334
BATCH-2024-00007,5,Speaker,6325,2024-11-18,2024-12-05,6092
BATCH-2025-00008,21,Battery,4991,2025-02-02,2025-02-12,4878
BATCH-2025-00009,34,Display,1834,2025-11-20,2025-12-07,1742
BATCH-2025-00010,9,Microcontroller,5853,2025-08-10,2025-08-20,5787
BATCH-2026-00011,15,Processor,1599,2026-08-18,2026-08-29,1545
BATCH-2025-00012,25,Processor,919,2025-04-07,2025-04-19,910
BATCH-2025-00013,23,Microcontroller,1694,2025-11-09,2025-11-22,1675
BATCH-2025-00014,24,Microcontroller,3382,2025-10-20,2025-11-02,3217
BATCH-2026-00015,15,Processor,3700,2026-05-14,2026-05-19,3532
BATCH-2025-00016,45,Charger,5585,2025-05-06,2025-05-12,5290
BATCH-2026-00017,6,Camera,2514,2026-01-12,2026-01-28,2438
BATCH-2025-00018,37,Charger,1166,2025-12-10,2025-12-29,1111
BATCH-2025-00019,12,Processor,1498,2025-10-28,2025-11-10,1447
BATCH-2026-00020,19,Sensor,8102,2026-08-22,2026-09-01,7947
BATCH-2025-00021,32,Charger,6257,2025-09-28,2025-10-17,5985
BATCH-2025-00022,13,Battery,1729,2025-10-12,2025-10-17,1642
BATCH-2026-00023,49,Microcontroller,1600,2026-06-30,2026-07-06,1552
BATCH-2024-00024,38,Camera,8946,2024-12-11,2024-12-24,8843
BATCH-2026-00025,2,Motherboard,3422,2026-01-14,2026-01-25,3388
BATCH-2025-00026,19,Motherboard,7493,2025-06-22,2025-07-01,6946
BATCH-2024-00027,48,Camera,415,2024-12-16,2024-12-22,398
BATCH-2025-00028,42,Motherboard,1874,2025-06-13,2025-06-27,1787
BATCH-2026-00029,15,Charger,9981,2026-04-08,2026-04-18,9566
BATCH-2026-00030,49,Sensor,1524,2026-08-01,2026-08-06,1509
BATCH-2026-00031,14,Display,277,2026-01-25,2026-02-14,268
BATCH-2026-00032,7,Fan,6973,2026-03-31,2026-04-14,6650
