unit_id,batch_id,checkpoint_id,checkpoint_name,result,tested_date,tester_id
UNIT-00001,BATCH-2026-00001,6,Connectivity,Pass,2026-02-24,TEST028
UNIT-00002,BATCH-2026-00001,6,Connectivity,Pass,2026-02-23,TEST049
UNIT-00003,BATCH-2026-00001,6,Connectivity,Pass,2026-03-01,TEST023
UNIT-00004,BATCH-2026-00001,4,Battery,Pass,2026-02-22,TEST039
UNIT-00005,BATCH-2026-00001,4,Battery,Fail,2026-02-23,TEST024
UNIT-00006,BATCH-2026-00001,8,Final,Pass,2026-02-26,TEST035
UNIT-00007,BATCH-2026-00001,8,Final,Pass,2026-02-25,TEST016
UNIT-00008,BATCH-2026-00001,2,Camera,Pass,2026-02-27,TEST009
UNIT-00009,BATCH-2026-00001,5,Screen,Pass,2026-03-01,TEST003
UNIT-00010,BATCH-2026-00001,6,Connectivity,Pass,2026-02-26,TEST037
UNIT-00011,BATCH-2026-00001,5,Screen,Pass,2026-02-26,TEST015
UNIT-00012,BATCH-2026-00001,4,Battery,Pass,2026-02-25,TEST048
UNIT-00013,BATCH-2026-00001,2,Camera,Pass,2026-02-24,TEST018
UNIT-00014,BATCH-2026-00001,7,Thermal,Pass,2026-02-25,TEST045
UNIT-00015,BATCH-2026-00001,8,Final,Pass,2026-02-23,TEST023
UNIT-00016,BATCH-2026-00001,6,Connectivity,Pass,2026-02-25,TEST047
UNIT-00017,BATCH-2026-00001,5,Screen,Pass,2026-02-25,TEST024
UNIT-00018,BATCH-2026-00001,3,Speaker,Pass,2026-02-27,TEST030
UNIT-00019,BATCH-2025-00002,6,Connectivity,Pass,2025-04-16,TEST036
UNIT-00020,BATCH-2025-00002,4,Battery,Pass,2025-04-18,TEST012
UNIT-00021,BATCH-2025-00002,7,Thermal,Pass,2025-04-18,TEST012
UNIT-00022,BATCH-2025-00002,5,Screen,Pass,2025-04-13,TEST004
UNIT-00023,BATCH-2025-00002,4,Battery,Pass,2025-04-14,TEST015
UNIT-00024,BATCH-2025-00002,8,Final,Pass,2025-04-13,TEST049
UNIT-00025,BATCH-2025-00002,6,Connectivity,Pass,2025-04-15,TEST022
UNIT-00026,BATCH-2025-00002,4,Battery,Pass,2025-04-15,TEST042
UNIT-00027,BATCH-2025-00002,2,Camera,Pass,2025-04-12,TEST022
UNIT-00028,BATCH-2025-00002,1,Electrical,Pass,2025-04-16,TEST007
